id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,price,listings_count,host_since,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,bed_type,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
1786923,3074414,47.658363159949076,-122.3180063264223,3,1.0,1.0,2.0,2,1125,14,44,74,349,9,93.0,0.42,90.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
3770248,3074414,47.661546118174684,-122.31479365243338,2,1.0,0.0,2.0,1,1125,30,60,90,365,5,76.0,0.29,85.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,strict,f,f
6705584,3074414,47.65856120833457,-122.31608656335912,4,1.0,1.0,2.0,1,1125,30,60,90,365,3,80.0,0.44,105.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
1417880,3074414,47.66147374152715,-122.31356281044512,2,1.0,1.0,1.0,3,1125,30,60,90,365,11,85.0,0.37,83.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
4484426,3074414,47.662360599433896,-122.30242395277931,6,2.0,2.0,2.0,1,1125,30,60,90,365,7,91.0,1.02,145.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,strict,f,f
3291777,3074414,47.65863155005484,-122.31776635593395,4,1.0,1.0,2.0,2,1125,30,60,90,365,7,66.0,0.37,95.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
6249536,3074414,47.663134577864504,-122.31455824953021,2,1.0,0.0,1.0,2,1125,30,60,90,365,2,80.0,0.26,98.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
3303857,3074414,47.65860891102937,-122.31771304868195,3,1.0,1.0,1.0,2,1125,30,60,90,365,23,82.0,1.23,95.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,strict,f,f
1589461,3074414,47.65697035652631,-122.31577978392693,3,1.0,1.0,1.0,3,1125,30,60,90,365,5,70.0,0.18,105.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,strict,f,f
1764233,3074414,47.66569149852364,-122.29583951036058,1,1.0,1.0,1.0,2,1125,0,28,58,333,12,65.0,0.47,42.0,34,2012-07-27,80.0,f,t,t,Other neighborhoods,House,Private room,Real Bed,f,strict,f,f
